id,en_es_DEEP_to_es_difference_general_rarity,en_es_DEEP_to_es_difference_genre_rarity,en_es_DEEPL_to_es_difference_general_rarity,en_es_DEEPL_to_es_difference_genre_rarity,en_es_GOOGLE_to_es_difference_general_rarity,en_es_GOOGLE_to_es_difference_genre_rarity,en_es_TRANSFORMERS_to_es_difference_general_rarity,en_es_TRANSFORMERS_to_es_difference_genre_rarity
2004/s/2004/614/133:2,0.007246376811594207,-0.019021739130434798,-0.003401360544217691,-0.0216836734693878,0.007246376811594207,-0.019021739130434798,-0.003401360544217691,-0.0216836734693878
2005/s/2005/699/408:1,-0.00488021295474711,0.051907719609583014,-0.05887681159420283,0.03532608695652181,-0.00488021295474711,0.051907719609583014,0.01877470355731231,0.029644268774703608
2009/s/2009/502/147:3,-0.005490196078431431,0.019215686274509803,-0.005490196078431431,-0.00039215686274509873,-0.005490196078431431,0.019215686274509803,-0.005490196078431431,-0.00039215686274509873
2006/s/2006/822/359:6,-0.08928571428571419,-0.0803571428571428,-0.08928571428571419,-0.0803571428571428,-0.08928571428571419,-0.0803571428571428,-0.1517857142857142,-0.0803571428571428
2005/s/2005/60/579:1,0.0,0.0555555555555555,0.0,0.0,0.05555555555555561,0.1111111111111111,0.0,0.0555555555555555
2011/s/2011/463/390:1,-0.03225806451612906,0.0,-0.06072106261859589,0.0,-0.03225806451612906,0.0,-0.04233870967741937,0.0
2012/s/2012/166/68:2,-0.035573122529644285,-0.0711462450592885,-0.0415860735009671,-0.051257253384912896,-0.035573122529644285,-0.0711462450592885,-0.07818181818181819,-0.09636363636363629
2010/s/2010/522/19:1,0.030352303523035196,0.0509485094850948,0.06726726726726728,0.058858858858858804,0.030352303523035196,0.0509485094850948,0.0222222222222222,0.0222222222222222
2013/s/2013/452/85:3,-0.0675324675324676,-0.0051948051948051965,-0.005347593582887694,0.0855614973262032,-0.0429292929292929,-0.007575757575757597,-0.038961038961039,-0.0051948051948051965
2005/s/2005/662/329:1,0.0,0.0,-0.01578947368421052,-0.05526315789473679,0.0,0.0,0.0,-0.0526315789473684
2005/s/2005/635/46:8,-0.055555555555555525,0.05555555555555561,-0.055555555555555525,0.05555555555555561,-0.055555555555555525,0.05555555555555561,0.0,0.05555555555555561
