id,ar_en_DEEP_difference_general_rare_proportion,ar_en_DEEP_difference_genre_rare_proportion,ar_en_DEEPL_difference_general_rare_proportion,ar_en_DEEPL_difference_genre_rare_proportion,ar_en_GOOGLE_difference_general_rare_proportion,ar_en_GOOGLE_difference_genre_rare_proportion,ar_en_TRANSFORMERS_difference_general_rare_proportion,ar_en_TRANSFORMERS_difference_genre_rare_proportion
2010/s/2010/462/10:4,-0.0798611111111111,-0.0625,-0.1076388888888889,-0.0347222222222223,-0.0798611111111111,-0.0625,-0.11739864864864868,-0.0625
2014/s/2014/902/124:1,-0.23891129032258063,-0.08770161290322581,-0.20665322580645162,-0.08770161290322581,-0.23891129032258063,-0.08770161290322581,-0.2604166666666667,-0.1479166666666667
2010/s/2010/528/133:1,-0.353219696969697,-0.2414772727272727,-0.353219696969697,-0.2414772727272727,-0.353219696969697,-0.2414772727272727,-0.353219696969697,-0.2414772727272727
2010/s/2010/522/57:4,-0.09401709401709402,-0.07179487179487179,-0.08391608391608396,-0.046037296037296005,-0.08391608391608396,-0.046037296037296005,-0.09165302782324064,-0.07746863066012
2012/s/2012/373/449:2,-0.2486938349007315,-0.3531870428422152,-0.2936596218020023,-0.3170189098998887,-0.2486938349007315,-0.3531870428422152,-0.2068965517241379,-0.3793103448275862
2012/s/res/2082__2012_/71:1,-0.27142857142857146,-0.125,-0.1774193548387097,-0.125,-0.27142857142857146,-0.125,-0.3125,-0.125
2005/s/2005/603/95:2,-0.266025641025641,-0.1730769230769231,-0.2736486486486487,-0.14189189189189189,-0.266025641025641,-0.1730769230769231,-0.3277027027027027,-0.195945945945946
2005/s/2005/60/640:5,-0.4603174603174603,-0.4285714285714285,-0.3492063492063492,-0.4285714285714285,-0.4603174603174603,-0.4285714285714285,-0.3492063492063492,-0.3174603174603174
2000/s/2000/1196/105:2,-0.30952380952380953,-0.023809523809523808,-0.30952380952380953,-0.023809523809523808,-0.30952380952380953,-0.023809523809523808,-0.38541666666666663,-0.032738095238095205
2005/s/2005/60/457:3,-0.22025974025974027,-0.13558441558441559,-0.218562091503268,-0.1284967320261438,-0.20727272727272728,-0.12259740259740261,-0.247741935483871,-0.1490322580645162
2011/s/2011/463/181:2,-0.331140350877193,-0.2105263157894736,-0.3132832080200502,-0.2105263157894736,-0.331140350877193,-0.2105263157894736,-0.37280701754385964,-0.2105263157894736
2005/s/2005/634/17:2,-0.5050505050505051,-0.35353535353535354,-0.5050505050505051,-0.35353535353535354,-0.5050505050505051,-0.35353535353535354,-0.5050505050505051,-0.35353535353535354
2014/s/prst/2014/3/798:1,-0.3240418118466899,-0.1991040318566451,-0.2688470066518847,-0.17405764966740578,-0.3240418118466899,-0.1991040318566451,-0.26091888825865,-0.1962563811684629
2006/s/2006/154/290:2,-0.1330128205128206,-0.15705128205128208,-0.1526360544217688,-0.08758503401360548,-0.1330128205128206,-0.15705128205128208,-0.12067610062893086,-0.08411949685534598
