id,es_en_DEEP_difference_general_rare_proportion,es_en_DEEP_difference_genre_rare_proportion,es_en_DEEPL_difference_general_rare_proportion,es_en_DEEPL_difference_genre_rare_proportion,es_en_GOOGLE_difference_general_rare_proportion,es_en_GOOGLE_difference_genre_rare_proportion,es_en_TRANSFORMERS_difference_general_rare_proportion,es_en_TRANSFORMERS_difference_genre_rare_proportion
2010/s/prst/2010/25/529:2,-0.011111111111111183,-0.6722222222222223,0.0023255813953488302,-0.7135658914728682,-0.011111111111111183,-0.6722222222222223,-0.011111111111111183,-0.6944444444444445
2008/s/2008/16/38:2,-0.037037037037037035,-0.7777777777777778,-0.07407407407407413,-0.7777777777777778,-0.025641025641025605,-0.7763532763532763,-0.09195402298850572,-0.7803320561941252
2010/s/prst/2010/25/450:1,0.07026143790849679,-0.7647058823529411,0.027863777089783298,-0.7647058823529411,0.07026143790849679,-0.7647058823529411,0.027863777089783298,-0.7647058823529411
2006/s/2006/154/79:3,-0.09340659340659341,-0.8663003663003663,-0.09340659340659341,-0.8663003663003663,-0.09340659340659341,-0.8663003663003663,-0.1477832512315271,-0.8702791461412152
2011/s/2011/463/187:1,-0.0803571428571429,-0.8125,-0.10416666666666669,-0.8125,-0.0803571428571429,-0.8125,-0.10416666666666669,-0.8125
2014/s/2014/929/11:3,-0.07301066447908122,-0.7112387202625103,-0.09735849056603768,-0.7347169811320755,-0.07301066447908122,-0.7112387202625103,-0.06485849056603771,-0.7338836477987423
2005/s/2005/662/365:3,-0.06666666666666671,-1.0,0.09999999999999998,-1.0,-0.06666666666666671,-1.0,0.09999999999999998,-1.0
2005/s/2005/60/736:1,-0.06746031746031739,-0.8587301587301589,-0.06746031746031739,-0.8587301587301589,-0.06746031746031739,-0.8587301587301589,-0.057142857142857106,-0.8857142857142859
2014/s/2014/957/63:3,-0.1535947712418301,-0.75,-0.1581196581196582,-0.75,-0.1535947712418301,-0.75,-0.1603174603174604,-0.75
2014/s/2014/935/149:1,-0.057315233785821984,-0.4570135746606335,-0.09597069597069591,-0.5494505494505495,-0.09597069597069591,-0.5494505494505495,-0.1324786324786324,-0.5811965811965811
2003/s/2003/90/177:1,0.006787330316742113,-0.5565610859728507,0.006787330316742113,-0.5565610859728507,0.006787330316742113,-0.5565610859728507,0.006787330316742113,-0.5565610859728507
2012/s/2012/244/25:6,0.044999999999999984,-0.66,0.044999999999999984,-0.66,0.044999999999999984,-0.66,0.06999999999999995,-0.66
2001/s/res/1377_2001_/14:1,0.005069124423963067,-0.6963133640552995,-0.03333333333333344,-0.6968253968253968,0.005069124423963067,-0.6963133640552995,-0.03333333333333344,-0.6968253968253968
2005/s/2005/673/81:4,-0.08000000000000002,-0.84,-0.13185185185185191,-0.84,-0.08000000000000002,-0.84,-0.08000000000000002,-0.84
2008/s/prst/2008/35/3:2,0.05238095238095239,-0.7642857142857143,0.05238095238095239,-0.7285714285714286,0.05238095238095239,-0.7642857142857143,0.04252873563218387,-0.7655172413793104
2005/s/2005/662/225:1,0.15000000000000002,-0.47000000000000003,0.35,-0.47000000000000003,0.15000000000000002,-0.47000000000000003,0.17142857142857137,-0.4723809523809524
2004/s/2004/384/85:2,-0.016544117647058793,-0.5808823529411765,-0.053475935828877,-0.6149732620320856,-0.016544117647058793,-0.5808823529411765,-0.04779411764705879,-0.5808823529411765
2012/s/2012/167/3:2,-0.1290514421647339,-0.7433838834374071,-0.09396372286648833,-0.7258400237882844,-0.13559322033898302,-0.7457627118644069,-0.09981167608286251,-0.7394852479598244
2011/s/2013/467/84:2,-0.0849462365591398,-0.6440860215053763,-0.06451612903225801,-0.6774193548387096,-0.0723025583982202,-0.64293659621802,-0.0723025583982202,-0.64293659621802
2004/s/prst/2004/39/11:1,0.14009661835748793,-0.7270531400966185,0.1167048054919908,-0.782608695652174,0.14009661835748793,-0.7270531400966185,0.14009661835748793,-0.7270531400966185
2014/s/res/2161__2014_/88:1,0.005582137161084466,-0.6881977671451356,0.0034939042521557884,-0.6802705917335713,0.005582137161084466,-0.6881977671451356,0.02133940620782726,-0.6881747638326586
2014/s/2014/276/59:4,-0.1529411764705882,-0.6313725490196078,-0.1990950226244344,-0.6877828054298643,-0.1529411764705882,-0.6313725490196078,-0.2862745098039216,-0.6980392156862745
2004/s/2004/614/31:5,-0.010451661067562512,-0.7017543859649122,0.01275917065390747,-0.7017543859649122,-0.010451661067562512,-0.7017543859649122,0.004678362573099393,-0.7017543859649122
2002/s/2002/685/138:1,-0.04359490274983238,-0.6988598256203891,-0.02745285270947717,-0.695631415612318,-0.03975465697410269,-0.6980917764652431,-0.05588368923216719,-0.6980917764652431
2012/s/prst/2012/28/10:3,0.010457987738910879,-0.6862603678326722,-0.029055690072639306,-0.6573849878934624,0.010457987738910879,-0.6862603678326722,0.009039548022598876,-0.6843691148775894
2008/s/2008/379/62:1,-0.0636363636363636,-0.9090909090909092,-0.0636363636363636,-0.9090909090909092,-0.0636363636363636,-0.9090909090909092,-0.013636363636363613,-0.9090909090909092
2013/s/2013/792/60:1,0.08572691117984976,-0.6414052143172779,0.09518186112423238,-0.6402928672649977,0.08572691117984976,-0.6414052143172779,0.09863013698630141,-0.6408675799086758
2005/s/2005/678/9:1,-0.07142857142857151,-0.7142857142857143,-0.03571428571428581,-0.7142857142857143,-0.07142857142857151,-0.7142857142857143,-0.07142857142857151,-0.7142857142857143
2012/s/2012/16/45:1,0.009473684210526412,-0.6491228070175439,-0.026852846401718478,-0.6491228070175439,0.009473684210526412,-0.6491228070175439,-0.02302631578947359,-0.6491228070175439
2013/s/prst/2013/17/10:1,-0.05781249999999999,-0.7509672619047619,0.004092261904761918,-0.7533482142857143,-0.05781249999999999,-0.7509672619047619,-0.024802791262135998,-0.7502275485436894
2010/s/2010/520/11:1,0.11052166224580012,-0.6193633952254642,0.01282051282051283,-0.6235431235431236,0.11052166224580012,-0.6193633952254642,0.12016514558887442,-0.636897001303781
2014/s/2014/276/61:3,0.006493506493506496,-0.775974025974026,0.006493506493506496,-0.775974025974026,0.006493506493506496,-0.775974025974026,-0.02380952380952378,-0.7797619047619048
2014/s/2014/943/29:1,-0.03999999999999998,-0.6333333333333333,-0.007441860465116301,-0.6302325581395348,-0.03999999999999998,-0.6333333333333333,0.015813953488372112,-0.6302325581395348
2009/s/prst/2009/1/451:1,-0.017368810051736794,-0.7531411677753141,-0.022103658536585302,-0.7526676829268293,-0.017368810051736794,-0.7531411677753141,-0.03749544958136142,-0.753367309792501
2003/s/2003/90/175:2,-0.0636363636363636,-0.6181818181818182,-0.09090909090909088,-0.6363636363636365,-0.0636363636363636,-0.6181818181818182,-0.09090909090909088,-0.6363636363636365
2005/s/2005/634/21:5,-0.06862745098039219,-0.7647058823529411,0.014705882352941207,-0.7647058823529411,-0.06862745098039219,-0.7647058823529411,-0.004524886877828094,-0.7647058823529411
2009/s/2009/389/74:1,-0.011111111111111127,-0.725,-0.017647058823529516,-0.725,0.0,-0.725,0.0,-0.725
2008/s/2008/259/21:3,0.022332506203473934,-0.4156327543424318,0.019585253456221197,-0.4815668202764978,0.022332506203473934,-0.4156327543424318,-0.016129032258064502,-0.5387096774193549
2005/s/2005/687/10:2,-0.08668730650154799,-0.7600619195046441,-0.0813397129186603,-0.759170653907496,-0.0813397129186603,-0.7288676236044658,-0.07565789473684209,-0.7269736842105263
2012/s/2012/244/21:1,0.09006211180124221,-0.6319875776397516,0.03768115942028982,-0.7057971014492753,0.05434782608695651,-0.6677018633540373,0.07357859531772573,-0.7006688963210702
2011/s/2011/463/71:11,-0.0672268907563025,-0.8235294117647058,-0.0672268907563025,-0.8235294117647058,-0.0672268907563025,-0.8235294117647058,-0.04524886877828049,-0.8235294117647058
2014/s/2014/869/30:2,0.10888888888888887,-0.6888888888888889,0.06999999999999995,-0.7000000000000001,0.10888888888888887,-0.6888888888888889,0.019999999999999962,-0.7000000000000001
2000/s/2000/1196/67:3,-0.0030959752321981227,-0.6191950464396284,-0.0030959752321981227,-0.6191950464396284,-0.0030959752321981227,-0.6191950464396284,0.05572755417956665,-0.6191950464396284
2005/s/2005/60/499:3,-0.04841269841269846,-0.8325396825396827,-0.07026143790849679,-0.8316993464052289,-0.0408496732026144,-0.8316993464052289,-0.07026143790849679,-0.8316993464052289
2014/s/2014/929/144:1,0.007686932215234088,-0.7403913347309575,-0.01157407407407407,-0.7175925925925927,0.015669515669515688,-0.7400284900284901,0.007686932215234088,-0.7403913347309575
2005/s/2005/60/616:2,-0.12055335968379446,-0.825098814229249,-0.10973084886128368,-0.8240165631469979,-0.12055335968379446,-0.825098814229249,-0.12055335968379446,-0.825098814229249
2010/s/2010/528/121:4,0.00694444444444442,-0.6909722222222222,-0.019841269841269882,-0.6865079365079365,0.027777777777777735,-0.7222222222222222,0.027777777777777735,-0.7222222222222222
2014/s/prst/2014/23/6:1,0.0198202959830866,-0.7608350951374208,0.028679653679653583,-0.7483766233766234,0.0198202959830866,-0.7608350951374208,0.02122124863088709,-0.747946330777656
2004/s/prst/2004/3/16:2,0.1082995951417004,-0.569838056680162,0.0705128205128206,-0.5705128205128206,0.1211018711018712,-0.5420997920997921,0.1217948717948718,-0.5705128205128206
2005/s/2005/633/25:3,-0.03333333333333341,-0.6777777777777778,-0.03333333333333341,-0.6777777777777778,-0.03333333333333341,-0.6777777777777778,-0.03333333333333341,-0.6777777777777778
2011/s/2011/463/168:2,-0.10011123470522798,-0.8064516129032258,-0.0841013824884792,-0.8064516129032258,-0.10011123470522798,-0.8064516129032258,-0.0669056152927121,-0.7694145758661888
2014/s/2014/41/123:3,-0.05555555555555558,-0.7222222222222223,-0.05555555555555558,-0.7222222222222223,-0.05555555555555558,-0.7222222222222223,-0.0146198830409357,-0.7251461988304094
2004/s/prst/2004/3/7:1,-0.13174603174603178,-0.6888888888888889,-0.13174603174603178,-0.6888888888888889,-0.13174603174603178,-0.6888888888888889,-0.14005167958656328,-0.6888888888888889
