id,ar_noun_counts,ar_verb_counts,ar_lemma_counts,en_ar_DEEP_noun_counts,en_ar_DEEP_verb_counts,en_ar_DEEP_lemma_counts,en_ar_DEEPL_noun_counts,en_ar_DEEPL_verb_counts,en_ar_DEEPL_lemma_counts,en_ar_GOOGLE_noun_counts,en_ar_GOOGLE_verb_counts,en_ar_GOOGLE_lemma_counts,en_ar_TRANSFORMERS_noun_counts,en_ar_TRANSFORMERS_verb_counts,en_ar_TRANSFORMERS_lemma_counts
2012/s/2012/79/22:1,5,4,41,6,4,41,6.0,3.0,41.0,6,4,41,6.0,4.0,42.0
2012/s/2012/168/4:3,9,5,39,7,8,42,8.0,5.0,40.0,7,8,42,7.0,5.0,41.0
2005/s/2005/60/192:1,7,1,28,6,1,24,6.0,1.0,24.0,6,1,24,6.0,1.0,26.0
2008/s/2008/251/14:3,1,1,7,1,1,6,2.0,1.0,7.0,1,1,6,1.0,1.0,7.0
2010/s/2010/529/78:2,4,2,24,4,1,22,5.0,2.0,23.0,4,1,22,6.0,1.0,22.0
2000/s/2000/1194/2:1,6,4,34,6,4,31,6.0,4.0,32.0,6,4,31,6.0,4.0,33.0
2014/s/2014/942/52:2,7,4,38,7,2,34,7.0,2.0,32.0,7,2,34,5.0,1.0,27.0
2005/s/2005/699/72:1,4,1,17,5,1,24,5.0,2.0,23.0,5,1,24,5.0,2.0,23.0
2005/s/2005/60/417:1,9,4,41,8,4,39,9.0,6.0,43.0,8,4,39,9.0,6.0,44.0
2004/s/2004/614/22:2,10,5,55,9,5,53,10.0,4.0,47.0,9,5,51,9.0,4.0,50.0
2005/s/2005/60/458:3,4,2,28,3,3,28,3.0,3.0,27.0,3,3,28,2.0,3.0,28.0
2005/s/2005/60/801:2,11,4,51,11,4,48,11.0,4.0,50.0,11,4,49,11.0,4.0,50.0
2009/s/prst/2009/1/464:1,8,3,51,10,2,48,9.0,2.0,48.0,10,2,48,8.0,5.0,51.0
2012/s/2012/24/63:2,4,1,32,5,2,32,5.0,1.0,30.0,5,2,32,5.0,1.0,30.0
