id,es_noun_counts,es_verb_counts,es_lemma_counts,en_es_DEEP_noun_counts,en_es_DEEP_verb_counts,en_es_DEEP_lemma_counts,en_es_DEEPL_noun_counts,en_es_DEEPL_verb_counts,en_es_DEEPL_lemma_counts,en_es_GOOGLE_noun_counts,en_es_GOOGLE_verb_counts,en_es_GOOGLE_lemma_counts,en_es_TRANSFORMERS_noun_counts,en_es_TRANSFORMERS_verb_counts,en_es_TRANSFORMERS_lemma_counts
2005/s/2005/60/351:3,9,1,30,5,2,31,5,1,31,5,2,31,6,1,32
2008/s/2008/258/109:1,16,2,35,16,2,38,16,2,38,16,2,38,16,3,39
2006/s/2006/822/175:4,4,4,24,5,4,27,4,5,26,5,4,27,4,5,25
2005/s/2005/60/256:1,9,4,36,8,3,35,8,3,34,8,3,35,8,3,34
2005/s/2005/645/2:3,5,4,34,5,4,36,3,4,36,5,4,36,4,4,36
2005/s/2005/572/320:1,4,2,20,4,2,21,4,2,20,4,2,21,4,2,21
2005/s/2005/60/445:3,5,1,19,5,1,19,5,1,19,5,1,19,6,1,19
2005/s/2005/60/191:9,9,3,38,9,3,36,10,2,35,9,2,37,9,3,36
2004/s/2004/384/104:2,3,3,21,3,3,21,3,3,21,3,3,21,3,2,20
2009/s/prst/2009/1/119:1,22,6,50,17,5,45,21,5,50,18,5,45,18,7,47
2008/s/2008/168/8:2,7,1,25,8,1,25,8,1,24,8,1,25,8,1,24
2005/s/2005/60/577:4,1,3,11,1,2,13,1,2,13,0,2,12,1,2,11
2008/s/2008/259/39:3,5,2,24,5,2,22,5,1,25,5,2,22,5,2,24
2012/s/2012/16/101:3,11,1,27,11,1,26,9,1,24,11,1,26,11,1,26
2010/s/2010/522/64:2,25,2,56,22,5,50,21,5,50,22,5,50,23,5,49
2005/s/2005/60/664:1,14,1,34,14,2,39,15,1,36,14,2,39,15,1,37
2008/s/2008/160/12:1,8,3,35,8,3,33,9,3,36,8,3,33,9,2,34
2005/s/2005/650/6:3,5,2,29,5,2,29,5,2,29,5,2,29,5,2,29
2009/s/prst/2009/19/4:3,4,3,28,4,3,28,4,3,28,4,3,28,4,2,28
2005/s/2005/625/36:1,5,0,10,5,0,10,5,0,11,5,0,11,5,0,11
2010/s/2010/569/69:1,6,2,23,5,2,22,6,2,24,6,2,24,5,2,21
2014/s/prst/2014/3/43:1,10,2,26,8,1,20,10,1,23,8,1,20,9,1,22
2014/s/2014/902/47:1,9,3,27,8,2,27,8,2,26,8,2,27,8,2,26
2009/s/2009/289/49:4,19,5,38,16,4,35,12,5,36,16,4,35,18,5,38
2010/s/prst/2010/22/6:1,3,4,36,3,2,36,3,2,38,3,2,37,3,2,38
2005/s/2005/60/130:1,10,6,43,9,6,43,10,5,45,9,6,43,9,6,41
2004/s/2004/384/59:1,16,3,52,18,2,55,19,3,58,18,2,57,20,2,56
2011/s/2011/298/60:1,6,2,28,7,2,30,7,2,30,7,2,30,7,2,28
2011/s/2011/463/341:4,14,3,35,12,2,33,11,2,33,12,2,33,11,3,32
2008/s/2008/258/72:2,13,1,38,13,1,39,14,1,40,14,1,38,14,1,41
2005/s/2005/572/255:3,7,3,35,7,3,34,7,3,34,7,3,34,7,3,34
2013/s/prst/2013/13/10:2,16,5,43,18,5,41,17,5,42,18,5,41,17,5,41
2014/s/prst/2014/3/75:1,15,6,42,15,5,37,15,5,35,15,5,35,15,5,35
2005/s/2005/604/91:5,12,3,37,11,3,31,11,3,31,11,3,31,12,3,32
2006/s/2006/822/278:1,8,2,31,7,3,33,7,3,33,7,3,33,7,3,33
2004/s/res/1526_2004_/21:1,14,5,48,8,4,45,8,3,45,8,4,47,10,3,44
2014/s/2014/913/42:2,19,6,43,19,4,42,18,5,42,19,4,42,18,5,42
2005/s/2005/673/12:2,14,4,44,13,3,41,14,3,41,13,3,41,14,3,40
2014/s/2014/914/14:3,4,1,14,4,1,13,4,1,13,4,1,13,5,1,14
2004/s/2004/642/48:1,10,3,44,11,4,49,11,4,49,11,4,49,11,4,49
1994/s/res/918_1994_/21:1,9,3,26,8,3,26,8,3,26,8,3,26,8,3,26
2011/s/2011/298/19:1,13,6,47,11,4,42,11,4,42,11,4,42,8,3,35
2014/s/2014/41/63:1,5,1,23,4,1,22,4,1,23,4,1,22,5,1,21
2005/s/2005/60/502:5,16,4,40,13,2,38,11,3,38,13,2,38,14,3,40
2014/s/2014/571/8:1,13,1,47,12,1,44,14,1,46,12,1,44,12,1,46
2014/s/2014/419/47:1,3,0,40,4,1,37,1,0,41,4,1,38,4,1,37
2014/s/2014/740/41:3,6,2,22,4,2,21,4,2,21,4,2,21,5,2,21
2005/s/2005/68/16:1,7,3,34,8,3,31,9,3,33,8,3,31,9,3,32
