id,es_general_rare_proportion,es_genre_rare_proportion,en_es_DEEP_general_rare_proportion,en_es_DEEP_genre_rare_proportion,en_es_DEEPL_general_rare_proportion,en_es_DEEPL_genre_rare_proportion,en_es_GOOGLE_general_rare_proportion,en_es_GOOGLE_genre_rare_proportion,en_es_TRANSFORMERS_general_rare_proportion,en_es_TRANSFORMERS_genre_rare_proportion
2012/s/2012/373/33:3,0.2972972972972973,0.02702702702702703,0.25,0.05555555555555555,0.23684210526315788,0.02631578947368421,0.25,0.05555555555555555,0.25,0.0
2005/s/2005/60/590:7,0.1875,0.125,0.2,0.2,0.0625,0.125,0.2,0.2,0.14285714285714285,0.21428571428571427
2005/s/2005/800/30:2,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.06666666666666667
2014/s/res/2161__2014_/17:1,0.375,0.0375,0.4533333333333333,0.013333333333333334,0.425,0.0125,0.4533333333333333,0.013333333333333334,0.4342105263157895,0.013157894736842105
2014/s/2014/571/37:1,0.3584905660377358,0.07547169811320754,0.3333333333333333,0.07407407407407407,0.33962264150943394,0.07547169811320754,0.3333333333333333,0.07407407407407407,0.33962264150943394,0.07547169811320754
2010/s/2010/529/65:1,0.4,0.1,0.4117647058823529,0.11764705882352941,0.4117647058823529,0.13725490196078433,0.4117647058823529,0.11764705882352941,0.4090909090909091,0.13636363636363635
2000/s/2000/595/22:1,0.4411764705882353,0.11764705882352941,0.6,0.13333333333333333,0.5161290322580645,0.0967741935483871,0.6,0.13333333333333333,0.6,0.13333333333333333
2005/s/2005/642/27:1,0.42574257425742573,0.07920792079207921,0.4230769230769231,0.07692307692307693,0.41284403669724773,0.10091743119266056,0.4230769230769231,0.07692307692307693,0.4,0.06666666666666667
2014/s/res/2161__2014_/128:1,0.3394495412844037,0.03669724770642202,0.3300970873786408,0.009708737864077669,0.3523809523809524,0.02857142857142857,0.3300970873786408,0.009708737864077669,0.3333333333333333,0.018518518518518517
2008/s/2008/800/65:1,0.3,0.03333333333333333,0.31932773109243695,0.025210084033613446,0.30327868852459017,0.03278688524590164,0.31932773109243695,0.025210084033613446,0.31666666666666665,0.025
2010/s/prst/2010/10/11:1,0.3333333333333333,0.0,0.37254901960784315,0.0196078431372549,0.35294117647058826,0.0196078431372549,0.36,0.04,0.34615384615384615,0.019230769230769232
2004/s/prst/2004/21/12:1,0.35294117647058826,0.029411764705882353,0.375,0.03125,0.36363636363636365,0.06060606060606061,0.375,0.03125,0.375,0.03125
2014/s/res/2160__2014_/64:1,0.3090909090909091,0.04242424242424243,0.3333333333333333,0.07333333333333333,0.31446540880503143,0.06289308176100629,0.3333333333333333,0.07333333333333333,0.3355263157894737,0.07894736842105263
2008/s/2008/324/166:1,0.3382352941176471,0.07352941176470588,0.35714285714285715,0.05714285714285714,0.37681159420289856,0.043478260869565216,0.34782608695652173,0.057971014492753624,0.35294117647058826,0.058823529411764705
2005/s/2005/60/191:7,0.4666666666666667,0.13333333333333333,0.5384615384615384,0.15384615384615385,0.6923076923076923,0.23076923076923078,0.5384615384615384,0.15384615384615385,0.5384615384615384,0.15384615384615385
2009/s/prst/2009/1/514:1,0.2391304347826087,0.0,0.23076923076923078,0.0,0.1956521739130435,0.0,0.23076923076923078,0.0,0.2,0.0
2014/s/2014/41/114:4,0.3793103448275862,0.10344827586206896,0.41379310344827586,0.13793103448275862,0.4642857142857143,0.10714285714285714,0.41379310344827586,0.13793103448275862,0.41379310344827586,0.13793103448275862
2005/s/2005/657/25:2,0.4146341463414634,0.0975609756097561,0.40476190476190477,0.09523809523809523,0.40476190476190477,0.09523809523809523,0.40476190476190477,0.09523809523809523,0.38095238095238093,0.09523809523809523
2004/s/prst/2004/34/8:1,0.2,0.0,0.14705882352941177,0.0,0.2571428571428571,0.02857142857142857,0.14705882352941177,0.0,0.18181818181818182,0.0
2011/s/2011/245/57:5,0.19718309859154928,0.056338028169014086,0.1267605633802817,0.056338028169014086,0.1506849315068493,0.0410958904109589,0.1267605633802817,0.056338028169014086,0.15942028985507245,0.057971014492753624
2014/s/2014/9/150:1,0.3076923076923077,0.038461538461538464,0.34615384615384615,0.07692307692307693,0.4166666666666667,0.08333333333333333,0.34615384615384615,0.07692307692307693,0.34615384615384615,0.07692307692307693
2006/s/2006/154/299:4,0.23255813953488372,0.046511627906976744,0.2,0.0,0.2,0.0,0.2,0.0,0.225,0.0
2003/s/2003/191/36:3,0.25,0.019230769230769232,0.3076923076923077,0.019230769230769232,0.3076923076923077,0.038461538461538464,0.3076923076923077,0.019230769230769232,0.3076923076923077,0.019230769230769232
2001/s/res/1373_2001_/16:1,0.2765957446808511,0.0425531914893617,0.2127659574468085,0.06382978723404255,0.2,0.06,0.2127659574468085,0.06382978723404255,0.24444444444444444,0.06666666666666667
2005/s/2005/631/54:5,0.4166666666666667,0.0,0.4166666666666667,0.041666666666666664,0.4166666666666667,0.041666666666666664,0.4166666666666667,0.041666666666666664,0.4166666666666667,0.08333333333333333
2013/s/prst/2013/18/3:3,0.2702702702702703,0.08108108108108109,0.36,0.12,0.39285714285714285,0.14285714285714285,0.36,0.12,0.3333333333333333,0.0
2005/s/2005/639/25:1,0.36363636363636365,0.06060606060606061,0.3821138211382114,0.06504065040650407,0.3712121212121212,0.07575757575757576,0.36507936507936506,0.09523809523809523,0.3779527559055118,0.047244094488188976
2008/s/2008/805/21:1,0.3973509933774834,0.052980132450331126,0.4225352112676056,0.04929577464788732,0.4178082191780822,0.04794520547945205,0.4225352112676056,0.04929577464788732,0.4217687074829932,0.05442176870748299
2011/s/2011/463/305:12,0.2727272727272727,0.06818181818181818,0.3170731707317073,0.04878048780487805,0.3170731707317073,0.0975609756097561,0.3170731707317073,0.04878048780487805,0.29545454545454547,0.045454545454545456
2012/s/2012/373/625:7,0.5,0.16666666666666666,0.5,0.16666666666666666,0.6,0.4,0.5,0.16666666666666666,0.5714285714285714,0.14285714285714285
2008/s/2008/379/93:1,0.45454545454545453,0.06060606060606061,0.5483870967741935,0.03225806451612903,0.4642857142857143,0.03571428571428571,0.5483870967741935,0.03225806451612903,0.45454545454545453,0.030303030303030304
