id,en_es_DEEP_difference_general_rare_proportion,en_es_DEEP_difference_genre_rare_proportion,en_es_DEEPL_difference_general_rare_proportion,en_es_DEEPL_difference_genre_rare_proportion,en_es_GOOGLE_difference_general_rare_proportion,en_es_GOOGLE_difference_genre_rare_proportion,en_es_TRANSFORMERS_difference_general_rare_proportion,en_es_TRANSFORMERS_difference_genre_rare_proportion,en_ar_DEEP_difference_general_rare_proportion,en_ar_DEEP_difference_genre_rare_proportion,en_ar_DEEPL_difference_general_rare_proportion,en_ar_DEEPL_difference_genre_rare_proportion,en_ar_GOOGLE_difference_general_rare_proportion,en_ar_GOOGLE_difference_genre_rare_proportion,en_ar_TRANSFORMERS_difference_general_rare_proportion,en_ar_TRANSFORMERS_difference_genre_rare_proportion
2009/s/res/1894_2009_/32:1,-0.02910052910052907,-0.0238095238095238,-0.02910052910052907,-0.0238095238095238,-0.02910052910052907,-0.0238095238095238,-0.03549783549783547,-0.0238095238095238,0.2072829131652662,0.0938375350140056,0.2554112554112555,0.0367965367965368,0.2072829131652662,0.0938375350140056,0.18661518661518667,0.0842985842985843
2009/s/2009/171/59:3,-0.1596638655462186,-0.011204481792717096,-0.13823529411764707,-0.008823529411764695,-0.1596638655462186,-0.011204481792717096,-0.1596638655462186,-0.011204481792717096,-0.1671826625386998,0.046439628482972097,-0.1176470588235295,0.0588235294117647,-0.1671826625386998,0.046439628482972097,-0.01680672268907568,0.03641456582633051
2009/s/prst/2009/1/222:1,-0.20814479638009048,0.0588235294117647,-0.22672064777327938,0.0526315789473684,-0.20814479638009048,0.0588235294117647,-0.21794871794871798,0.0555555555555555,0.2517482517482518,0.1818181818181818,0.2517482517482518,0.0909090909090909,0.2517482517482518,0.1818181818181818,0.3426573426573427,0.2727272727272727
2009/s/2009/671/11:1,-0.048214285714285765,-0.002678571428571499,-0.07678571428571429,-0.002678571428571499,-0.048214285714285765,-0.002678571428571499,-0.11805555555555558,-0.0034722222222223,0.14583333333333337,0.1354166666666666,0.22010869565217395,0.186141304347826,0.14583333333333337,0.1354166666666666,0.23750000000000004,0.20875
2014/s/2014/929/112:3,0.114630467571644,0.0407239819004525,0.10622710622710621,0.0373626373626373,0.114630467571644,0.0407239819004525,0.07765567765567763,0.0373626373626373,0.4358974358974359,0.11538461538461539,0.45014245014245013,0.1823361823361823,0.4358974358974359,0.11538461538461539,0.3205128205128205,0.12307692307692311
2003/s/2003/90/18:1,0.0,0.0,-0.09999999999999998,0.03333333333333341,0.0,0.0,0.0,0.0,0.0,0.0833333333333334,-0.09999999999999998,0.03333333333333341,0.0,0.0833333333333334,0.0,0.0833333333333334
2005/s/2005/60/668:1,0.049450549450549386,0.0201465201465202,0.033216783216783174,0.016899766899766896,0.049450549450549386,0.0201465201465202,0.033216783216783174,0.016899766899766896,0.3708791208791209,0.1987179487179488,0.3374689826302729,0.1100082712985939,0.3708791208791209,0.1987179487179488,0.4523076923076923,0.18871794871794878
2005/s/2005/678/22:2,0.1018181818181818,0.09636363636363629,0.06285714285714279,0.10285714285714279,0.1018181818181818,0.09636363636363629,0.1018181818181818,0.1418181818181818,0.1422222222222222,0.1822222222222222,0.1507692307692307,0.2292307692307692,0.1422222222222222,0.1822222222222222,0.1422222222222222,0.14518518518518508
2005/s/2005/60/473:5,-0.1428571428571429,0.1428571428571429,-0.1428571428571429,0.1428571428571429,-0.1428571428571429,0.1428571428571429,-0.1428571428571429,0.1428571428571429,0.1428571428571429,0.4285714285714286,0.0,0.2857142857142857,0.1428571428571429,0.4285714285714286,0.0535714285714286,0.2321428571428572
2000/s/2000/1196/47:3,-0.011538461538461608,-0.04423076923076932,0.02653061224489789,-0.009693877551020413,0.04693877551020409,-0.009693877551020413,0.014814814814814836,-0.08981481481481493,0.3,0.09999999999999998,0.27499999999999997,0.04999999999999999,0.27499999999999997,0.09999999999999998,0.325,0.125
