id,es_en_DEEP_to_es_difference_general_rarity,es_en_DEEP_to_es_difference_genre_rarity,es_en_DEEPL_to_es_difference_general_rarity,es_en_DEEPL_to_es_difference_genre_rarity,es_en_GOOGLE_to_es_difference_general_rarity,es_en_GOOGLE_to_es_difference_genre_rarity,es_en_TRANSFORMERS_to_es_difference_general_rarity,es_en_TRANSFORMERS_to_es_difference_genre_rarity
2005/s/2005/572/207:1,-0.008670019074041885,0.0031212068666551032,-0.01658049563201988,-0.009805669459796797,-0.008670019074041885,0.0031212068666551032,-0.042133815551537,-0.009403254972875297
2010/s/2010/522/39:1,-0.038020086083213805,0.0294117647058823,-0.02768622280817401,0.027027027027027,-0.0014781966001478075,0.0606060606060606,-0.038020086083213805,0.0294117647058823
2006/s/2006/822/155:5,-0.01661779081133921,0.0039100684261973925,-0.04242424242424239,0.039393939393939405,-0.01661779081133921,0.0039100684261973925,-0.01661779081133921,0.0039100684261973925
2006/s/2006/822/190:5,-0.042735042735042694,-0.042735042735042694,0.06837606837606841,0.17948717948717952,-0.042735042735042694,-0.042735042735042694,-0.0629370629370629,-0.0629370629370629
2012/s/2012/249/6:1,-0.12200956937799042,0.0,-0.1053215077605321,0.0,-0.09569377990430622,0.0,-0.1053215077605321,0.0
2014/s/2014/945/77:2,-0.019673539518900385,-0.021048109965635702,-0.03749999999999998,-0.03125,-0.0030701754385965008,-0.010087719298245604,-0.044597069597069605,-0.0306776556776557
2005/s/2005/572/92:1,-0.006632277081798088,-0.007123556865635004,-0.014967925873129007,-0.0087906866239012,0.04947526236881561,0.04547726136931529,0.0133239831697054,0.022674146797568892
2005/s/2005/60/395:4,-0.04242424242424239,-0.027272727272727303,-0.04242424242424239,-0.027272727272727303,-0.04242424242424239,-0.027272727272727303,-0.0757575757575758,-0.027272727272727303
2008/s/2008/258/96:2,-0.03999999999999998,-0.04,-0.004705882352941199,-0.04,-0.029473684210526402,-0.04,-0.01777777777777778,-0.04
2014/s/2014/419/27:1,0.0784313725490196,-0.025210084033613397,0.019607843137254888,-0.025210084033613397,0.05555555555555558,-0.03174603174603169,0.041666666666666685,-0.017857142857142794
2014/s/2014/740/75:4,0.01428571428571429,-0.0408163265306122,-0.027649769585253503,-0.0408163265306122,0.01428571428571429,-0.0408163265306122,-0.012987012987012991,-0.0408163265306122
2012/s/2012/16/162:5,-0.017543859649122806,-0.030701754385964904,-0.033333333333333326,-0.0333333333333333,-0.017543859649122806,-0.030701754385964904,-0.033333333333333326,-0.0333333333333333
2014/s/2014/935/39:6,0.042483660130719,-0.006535947712418291,0.042483660130719,-0.006535947712418291,0.042483660130719,-0.006535947712418291,0.042483660130719,-0.006535947712418291
2014/s/2014/9/11:1,0.028205128205128216,0.0153846153846154,0.06410256410256412,-0.0512820512820512,0.028205128205128216,0.0153846153846154,0.028205128205128216,0.0153846153846154
2005/s/2005/60/322:1,-0.03999999999999998,-0.04000000000000001,0.10105263157894728,0.06315789473684208,-0.08000000000000002,0.0,-0.12769230769230772,-0.08461538461538472
2006/s/2006/822/156:5,0.0394088669950739,-0.042692939244663386,0.0165517241379311,-0.05793103448275859,0.0394088669950739,-0.042692939244663386,0.07046476761619191,-0.007496251874062998
2008/s/res/1805_2008_/15:1,-0.01565217391304352,-0.02,0.06095238095238087,-0.02,-0.01565217391304352,-0.02,0.052093023255813886,-0.02
2010/s/res/1963_2010_/27:1,-0.02507440476190481,-0.008779761904761901,-0.02785966981132082,-0.009139150943396297,-0.02507440476190481,-0.008779761904761901,-0.02401620370370372,-0.009837962962963
2006/s/2006/822/282:4,-0.16666666666666669,-0.05555555555555561,-0.16666666666666669,-0.05555555555555561,-0.16666666666666669,-0.05555555555555561,-0.2189542483660131,-0.05228758169934641
2006/s/2006/154/254:2,-0.2083333333333334,0.0,-0.041666666666666685,0.0,-0.2083333333333334,0.0,-0.2083333333333334,0.0
2011/s/2011/689/22:1,0.047186932849364815,-0.044464609800363,0.012704174228675091,-0.044464609800363,0.047186932849364815,-0.044464609800363,0.02716468590831922,-0.0466893039049236
2010/s/2010/497/109:3,-0.144880174291939,-0.0980392156862745,-0.07450980392156858,-0.0535947712418301,-0.144880174291939,-0.0980392156862745,-0.06617647058823531,-0.0772058823529412
2014/s/2014/902/78:1,0.03703703703703698,-0.010101010101010097,-0.037037037037037035,-0.010101010101010097,0.03703703703703698,-0.010101010101010097,0.051282051282051266,-0.005827505827505908
2014/s/prst/2014/3/94:1,-0.11428571428571432,0.0,-0.08000000000000002,0.0,-0.10370370370370374,0.0,-0.13913043478260873,0.0
2005/s/2005/68/37:3,-0.01470588235294118,-0.025735294117646995,-0.03889943074003799,-0.023719165085389002,0.02561669829222013,0.008538899430740099,-0.022281639928698777,-0.027629233511586394
2005/s/2005/572/132:4,0.019607843137254888,-0.04575163398692811,0.019607843137254888,-0.04575163398692811,0.019607843137254888,-0.04575163398692811,0.019607843137254888,-0.04575163398692811
2005/s/2005/636/726:1,-0.039215686274509776,-0.013574660633484205,-0.02879901960784309,-0.007965686274509803,-0.0041279669762641635,-0.012899896800825605,-0.02879901960784309,-0.007965686274509803
2014/s/prst/2014/23/40:1,-0.03389400190415742,-0.0205014281180578,-0.04972998635095843,-0.0291970802919708,-0.06070559610705603,-0.0291970802919708,-0.05786006765177143,-0.021066998991157798
2006/s/res/1674_2006_/20:1,-0.0673234811165846,-0.015291461412151002,-0.06904761904761911,-0.0184523809523809,-0.0443349753694581,0.007697044334975398,-0.05844155844155849,-0.004058441558441501
2007/s/2007/677/159:3,-0.12019230769230771,-0.0456730769230769,-0.08894230769230771,-0.0769230769230769,-0.12019230769230771,-0.0456730769230769,-0.12587412587412591,-0.046620046620046596
2011/s/2011/373/7:1,0.016699900299102677,-0.0396311066799601,0.008919961427193784,-0.0243490838958534,0.012745098039215697,-0.006862745098039205,0.008919961427193784,-0.007955641272902603
2011/s/res/1989_2011_/60:1,0.009159639430066896,-0.026054085489967998,-0.0152607546262917,-0.027012737322758898,0.009159639430066896,-0.026054085489967998,0.004678362573099393,-0.0204678362573099
2014/s/2014/41/101:2,-0.05955334987593061,-0.064516129032258,-0.021091811414392092,-0.026054590570719592,-0.05032258064516132,-0.024516129032257993,-0.05032258064516132,-0.024516129032257993
2000/s/2000/596/55:1,-0.12337662337662329,-0.0714285714285714,-0.0838509316770186,-0.027950310559006195,-0.12337662337662329,-0.0714285714285714,-0.11904761904761899,-0.0714285714285714
2003/s/2003/90/55:2,-0.10086956521739132,-0.0365217391304348,-0.10744186046511633,-0.0334883720930233,-0.10086956521739132,-0.0365217391304348,-0.09609756097560981,-0.031219512195122
2000/s/2000/1196/80:1,-0.2008928571428572,-0.0267857142857143,-0.1899038461538462,-0.0240384615384616,-0.2008928571428572,-0.0267857142857143,-0.1899038461538462,-0.0240384615384616
2014/s/2014/935/152:1,-0.024908424908424875,-0.0197802197802198,0.01206636500754149,0.0407239819004525,-0.024908424908424875,-0.0483516483516484,-0.0467571644042232,-0.047511312217194596
2005/s/2005/6/14:7,-0.08333333333333331,-0.0416666666666666,-0.04065040650406504,-0.0416666666666666,-0.08333333333333331,-0.0416666666666666,-0.05833333333333329,-0.0416666666666666
2006/s/2006/154/119:2,-0.03663793103448271,-0.048132183908045995,-0.044137931034482714,-0.04896551724137929,-0.028059499661933718,-0.029749830966869492,-0.024137931034482696,-0.032601880877742996
2007/s/2007/677/90:2,-0.010526315789473578,0.1,-0.05263157894736839,0.1052631578947368,-0.010526315789473578,0.1,-0.010526315789473578,0.05
2005/s/2005/673/80:1,-0.0092592592592593,0.0092592592592593,-0.0092592592592593,0.0092592592592593,-0.0092592592592593,0.0092592592592593,-0.005555555555555591,0.005555555555555598
2003/s/2003/216/29:2,-0.092391304347826,-0.005434782608695593,-0.092391304347826,-0.04710144927536229,-0.092391304347826,-0.005434782608695593,-0.0810276679841897,0.005928853754940705
2005/s/2005/634/18:2,-0.05913043478260871,0.05043478260869559,-0.02833333333333332,0.0866666666666666,-0.05913043478260871,0.05043478260869559,-0.05913043478260871,0.09391304347826081
2005/s/2005/60/851:1,-0.15289575289575288,0.003088803088803098,-0.1772655007949126,0.004769475357710697,-0.15289575289575288,0.003088803088803098,-0.1993243243243243,-0.022804054054054
2011/s/2011/463/163:1,0.10227272727272729,0.0,0.15584415584415579,0.0,0.10227272727272729,0.0,-0.0727272727272727,0.0
2005/s/2005/60/14:3,0.0222222222222222,0.0,0.03174603174603169,0.0,0.0222222222222222,0.0,0.0888888888888889,0.0
2009/s/prst/2009/1/3:1,-0.08947368421052632,-0.0263157894736842,-0.10765550239234453,-0.0263157894736842,-0.06090225563909782,-0.0263157894736842,-0.08359133126934992,-0.0263157894736842
2013/s/prst/2013/11/17:1,-0.08030303030303029,0.021212121212121203,-0.04393939393939389,0.0393939393939394,-0.08030303030303029,0.021212121212121203,-0.0759259259259259,0.0222222222222222
2003/s/2003/191/46:1,0.044956140350877194,-0.0175438596491228,0.016469745793054102,-0.0175438596491228,0.044956140350877194,-0.0175438596491228,0.032101530421799196,-0.0175438596491228
2008/s/2008/324/69:1,0.0071428571428572285,0.0,0.08714285714285719,0.0,0.0071428571428572285,0.0,0.04714285714285721,0.0
2010/s/res/1963_2010_/12:1,-0.09486812512778572,-0.0136986301369863,-0.09087401119043031,-0.0136986301369863,-0.09486812512778572,-0.0136986301369863,-0.1000595592614652,-0.0136986301369863
2011/s/2011/298/81:6,-0.014363885088919226,-0.034199726402188706,-0.0504983388704319,-0.007308970099667703,-0.014363885088919226,-0.034199726402188706,-0.0504983388704319,-0.035880398671096304
2010/s/prst/2010/10/17:1,-0.0489871574208923,0.0021183635641466997,-0.09509157509157509,0.004688644688644699,-0.0489871574208923,0.0021183635641466997,-0.054258241758241704,-0.0094780219780219
2007/s/prst/2007/43/6:1,-0.024844720496894512,-0.0631469979296066,-0.014130434782608697,-0.0619565217391304,-0.024844720496894512,-0.0631469979296066,-0.0345849802371542,-0.0642292490118577
2011/s/2011/245/52:4,0.05388471177944859,-0.021303258145363404,0.05388471177944859,-0.021303258145363404,0.035392535392535396,-0.020592020592020602,0.06241956241956237,-0.0476190476190476
2005/s/2005/60/356:2,0.042510121457489905,-0.0769230769230769,0.0346153846153847,-0.0769230769230769,0.042510121457489905,-0.0769230769230769,0.07509157509157512,-0.029304029304029297
