id,en_ar_DEEP_difference_general_rare_proportion,en_ar_DEEP_difference_genre_rare_proportion,en_ar_DEEPL_difference_general_rare_proportion,en_ar_DEEPL_difference_genre_rare_proportion,en_ar_GOOGLE_difference_general_rare_proportion,en_ar_GOOGLE_difference_genre_rare_proportion,en_ar_TRANSFORMERS_difference_general_rare_proportion,en_ar_TRANSFORMERS_difference_genre_rare_proportion
2004/s/2004/825/33:4,-0.13888888888888895,-0.1111111111111111,-0.25000000000000006,-0.1111111111111111,-0.13888888888888895,-0.1111111111111111,-0.02777777777777779,0.0
2004/s/ac_44/2004/_02_/32/121:3,0.1777777777777778,0.0222222222222222,0.1777777777777778,0.0222222222222222,0.1777777777777778,0.0222222222222222,0.1777777777777778,0.0222222222222222
2000/s/2000/900/3:1,0.023684210526315697,0.06842105263157894,0.023684210526315697,0.06842105263157894,0.023684210526315697,0.06842105263157894,0.04999999999999999,0.0
2012/s/pv_6735/276:1,0.041481481481481564,0.03259259259259262,0.041481481481481564,0.03259259259259262,0.041481481481481564,0.03259259259259262,0.03703703703703709,0.037037037037037035
2002/s/2002/326/3:2,-0.036363636363636376,-0.013636363636363613,-0.036363636363636376,0.03636363636363643,-0.004784688995215336,0.004784688995215336,-0.036363636363636376,-0.013636363636363613
1998/s/1998/899/25:1,-0.08333333333333326,-0.027777777777777735,-0.11111111111111105,-0.037037037037037035,-0.08333333333333326,-0.027777777777777735,-0.16666666666666663,-0.06944444444444442
2000/s/agenda/4139/2:1,-0.23232323232323238,-0.020202020202020207,-0.07777777777777783,-0.1111111111111111,-0.2777777777777778,-0.0111111111111111,0.0,0.0
2004/s/ac_37/2004/_1455_/10/27:1,0.11111111111111116,-0.1111111111111111,0.11111111111111116,-0.1111111111111111,0.11111111111111116,-0.1111111111111111,0.11111111111111116,0.1111111111111111
2013/s/2013/515/12:1,0.0,-0.030303030303030304,-0.016042780748663055,-0.035650623885918,0.0,-0.030303030303030304,0.0,-0.030303030303030304
2003/s/ac_37/2003/_1455_/11/21:1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
2010/s/ac_44/2004/_02_/160/111:1,-0.11111111111111116,-0.22222222222222227,-0.11111111111111116,-0.22222222222222227,-0.11111111111111116,-0.22222222222222227,-0.11111111111111116,-0.22222222222222227
1998/s/ac_26/1998/13/995:3,-0.18620689655172418,-0.22528735632183908,-0.17142857142857149,-0.2523809523809525,-0.18620689655172418,-0.22528735632183908,-0.17142857142857149,-0.14523809523809528
2014/s/2014/295/41:1,-0.08333333333333331,-0.0833333333333334,-0.2692307692307693,-0.0961538461538462,-0.08333333333333331,-0.0833333333333334,-0.03846153846153849,-0.1730769230769231
2012/s/2012/947/914:1,-0.05555555555555558,-0.011111111111111127,-0.04999999999999999,-0.050000000000000044,-0.07894736842105271,-0.031578947368421095,-0.05555555555555558,-0.06666666666666671
2014/s/2014/932/41:4,-0.10822510822510822,-0.07792207792207789,-0.06060606060606066,-0.1255411255411256,-0.09090909090909094,-0.13636363636363638,-0.09090909090909094,-0.13636363636363638
2011/s/pv_6656/98:5,-0.25454545454545446,0.03636363636363643,-0.16883116883116878,0.2077922077922078,-0.25454545454545446,0.03636363636363643,-0.12121212121212116,0.1363636363636364
1998/s/1998/1233/69:1,-0.3142857142857143,-0.3142857142857143,-0.380952380952381,-0.380952380952381,-0.3142857142857143,-0.3142857142857143,0.0357142857142857,0.0357142857142857
