id,es_en_DEEP_difference_noun_counts,es_en_DEEP_difference_verb_counts,es_en_DEEP_difference_lemma_counts,es_en_DEEPL_difference_noun_counts,es_en_DEEPL_difference_verb_counts,es_en_DEEPL_difference_lemma_counts,es_en_GOOGLE_difference_noun_counts,es_en_GOOGLE_difference_verb_counts,es_en_GOOGLE_difference_lemma_counts,es_en_TRANSFORMERS_difference_noun_counts,es_en_TRANSFORMERS_difference_verb_counts,es_en_TRANSFORMERS_difference_lemma_counts
2009/s/2009/289/49:4,-4,-1,0,-4,-1,-3,-3,-1,-1,-4,-1,-2
2010/s/prst/2010/22/6:1,-2,-1,-3,-2,-1,-3,-2,-1,-3,-2,-1,-3
2005/s/2005/60/130:1,0,2,1,0,2,0,0,2,1,0,4,1
2004/s/2004/384/59:1,-3,2,0,-1,2,0,-2,2,2,-2,2,1
2011/s/2011/298/60:1,0,0,-1,0,0,-1,0,0,-1,0,0,-1
2011/s/2011/463/341:4,-4,3,-2,-7,2,-4,-4,3,-2,-7,3,-4
2008/s/2008/258/72:2,-1,1,1,-2,1,0,-1,1,1,-2,1,2
2005/s/2005/572/255:3,-2,1,0,-2,1,0,-2,1,0,-2,1,-1
2013/s/prst/2013/13/10:2,-3,2,-6,-3,1,-5,-3,2,-6,-3,2,-5
2014/s/prst/2014/3/75:1,0,2,-3,0,2,-3,0,2,-3,0,2,-3
2005/s/2005/604/91:5,-1,3,0,-1,3,0,-1,3,0,-1,3,0
2006/s/2006/822/278:1,-2,1,-2,-2,1,-1,-2,1,-2,-2,1,-1
2004/s/res/1526_2004_/21:1,-1,2,-2,-1,4,1,-1,2,-1,-1,3,2
2014/s/2014/913/42:2,-5,-1,-2,-4,-1,-3,-5,-1,-1,-3,-2,0
2005/s/2005/673/12:2,-3,2,4,-4,2,2,-3,2,4,-3,1,2
2014/s/2014/914/14:3,0,0,-1,0,1,0,0,0,-1,0,1,0
2004/s/2004/642/48:1,-1,0,-2,-1,0,-1,-2,0,-1,-1,0,0
1994/s/res/918_1994_/21:1,0,0,2,0,0,2,0,0,1,0,0,1
2011/s/2011/298/19:1,-5,1,-5,-5,1,-5,-5,1,-5,-5,1,-3
2014/s/2014/41/63:1,-2,1,0,-3,1,-3,-2,1,0,-2,0,-1
2005/s/2005/60/502:5,-6,1,2,-5,1,-1,-6,1,2,-7,1,0
2014/s/2014/571/8:1,-1,1,0,-2,0,-2,-1,1,0,-2,0,-2
